id,timestamp,categoria,valor,estado,region,tiempo_respuesta
1,2025-01-01 03:00:00,Logistica,20.15,Mantenimiento,Oeste,2.02
2,2025-01-01 06:00:00,Software,9.25,Inactivo,Norte,8.26
3,2025-01-01 09:00:00,Electronica,27.81,Error,Sur,14.69
4,2025-01-01 12:00:00,Software,22.33,Mantenimiento,Este,2.86
5,2025-01-01 15:00:00,Electronica,81.9,Activo,Este,0.14
6,2025-01-01 18:00:00,Electronica,0.01,Inactivo,Sur,7.35
7,2025-01-01 21:00:00,Logistica,10.72,Error,Sur,0.17
8,2025-01-02 00:00:00,Mecanica,0.37,Inactivo,Centro,4.44
9,2025-01-02 03:00:00,Calidad,72.45,Activo,Norte,6.18
10,2025-01-02 06:00:00,Software,59.36,Mantenimiento,Oeste,7.64
11,2025-01-02 09:00:00,Electronica,57.63,Mantenimiento,Sur,12.36
12,2025-01-02 12:00:00,Logistica,94.56,Mantenimiento,Norte,10.26
13,2025-01-02 15:00:00,Calidad,4.79,Inactivo,Este,4.07
14,2025-01-02 18:00:00,Logistica,54.24,Mantenimiento,Centro,14.05
15,2025-01-02 21:00:00,Electronica,0.23,Error,Este,7.14
16,2025-01-03 00:00:00,Electronica,43.87,Mantenimiento,Norte,7.69
17,2025-01-03 03:00:00,Mecanica,1.59,Inactivo,Centro,12.87
18,2025-01-03 06:00:00,Calidad,44.99,Mantenimiento,Este,11.09
19,2025-01-03 09:00:00,Mecanica,48.1,Mantenimiento,Centro,0.33
20,2025-01-03 12:00:00,Mecanica,16.36,Error,Este,0.77
21,2025-01-03 15:00:00,Electronica,4.96,Inactivo,Centro,7.17
22,2025-01-03 18:00:00,Mecanica,6.54,Inactivo,Sur,4.67
23,2025-01-03 21:00:00,Calidad,2.98,Inactivo,Oeste,9.6
24,2025-01-04 00:00:00,Software,24.69,Error,Este,3.91
25,2025-01-04 03:00:00,Software,23.24,Error,Oeste,9.66
26,2025-01-04 06:00:00,Electronica,4.14,Inactivo,Oeste,11.66
27,2025-01-04 09:00:00,Calidad,60.3,Mantenimiento,Oeste,0.18
28,2025-01-04 12:00:00,Calidad,5.92,Error,Centro,6.63
29,2025-01-04 15:00:00,Electronica,85.8,Error,Norte,6.77
30,2025-01-04 18:00:00,Mecanica,7.71,Inactivo,Este,10.55
31,2025-01-04 21:00:00,Software,15.4,Error,Sur,11.06
32,2025-01-05 00:00:00,Electronica,67.91,Activo,Este,13.27
33,2025-01-05 03:00:00,Logistica,8.47,Inactivo,Oeste,3.12
34,2025-01-05 06:00:00,Electronica,44.32,Mantenimiento,Oeste,9.08
35,2025-01-05 09:00:00,Mecanica,19.17,Error,Norte,8.0
36,2025-01-05 12:00:00,Electronica,8.56,Inactivo,Sur,4.78
37,2025-01-05 15:00:00,Calidad,7.2,Inactivo,Centro,0.37
38,2025-01-05 18:00:00,Logistica,9.28,Inactivo,Sur,8.71
39,2025-01-05 21:00:00,Calidad,3.85,Inactivo,Este,9.52
40,2025-01-06 00:00:00,Electronica,1.69,Inactivo,Norte,9.56
41,2025-01-06 03:00:00,Mecanica,51.83,Mantenimiento,Sur,6.54
42,2025-01-06 06:00:00,Mecanica,42.85,Activo,Oeste,9.91
43,2025-01-06 09:00:00,Calidad,3.15,Inactivo,Oeste,4.98
44,2025-01-06 12:00:00,Logistica,21.66,Error,Norte,8.09
45,2025-01-06 15:00:00,Calidad,29.24,Error,Norte,12.46
46,2025-01-06 18:00:00,Electronica,23.63,Error,Sur,8.3
47,2025-01-06 21:00:00,Electronica,42.72,Mantenimiento,Norte,7.83
48,2025-01-07 00:00:00,Electronica,0.69,Inactivo,Este,5.5
49,2025-01-07 03:00:00,Calidad,61.78,Mantenimiento,Sur,12.5
50,2025-01-07 06:00:00,Electronica,59.11,Activo,Este,10.02
51,2025-01-07 09:00:00,Logistica,29.04,Error,Norte,10.26
52,2025-01-07 12:00:00,Software,61.65,Mantenimiento,Centro,14.78
53,2025-01-07 15:00:00,Mecanica,3.02,Inactivo,Oeste,6.82
54,2025-01-07 18:00:00,Logistica,75.57,Mantenimiento,Sur,9.39
55,2025-01-07 21:00:00,Logistica,2.09,Inactivo,Oeste,0.32
56,2025-01-08 00:00:00,Calidad,43.13,Activo,Sur,7.54
57,2025-01-08 03:00:00,Electronica,48.62,Mantenimiento,Oeste,2.03
58,2025-01-08 06:00:00,Mecanica,48.84,Mantenimiento,Norte,9.67
59,2025-01-08 09:00:00,Calidad,3.59,Error,Este,12.58
60,2025-01-08 12:00:00,Logistica,43.69,Mantenimiento,Oeste,5.71
61,2025-01-08 15:00:00,Calidad,23.98,Error,Este,5.49
62,2025-01-08 18:00:00,Software,62.67,Mantenimiento,Sur,1.91
63,2025-01-08 21:00:00,Electronica,3.22,Inactivo,Oeste,13.76
64,2025-01-09 00:00:00,Electronica,8.99,Inactivo,Centro,10.76
65,2025-01-09 03:00:00,Calidad,4.75,Inactivo,Este,2.97
66,2025-01-09 06:00:00,Mecanica,27.09,Error,Este,3.16
67,2025-01-09 09:00:00,Electronica,60.77,Mantenimiento,Sur,14.76
68,2025-01-09 12:00:00,Software,96.43,Mantenimiento,Sur,2.95
69,2025-01-09 15:00:00,Mecanica,56.51,Mantenimiento,Este,12.11
70,2025-01-09 18:00:00,Electronica,1.09,Inactivo,Sur,12.43
71,2025-01-09 21:00:00,Electronica,29.81,Activo,Norte,5.41
72,2025-01-10 00:00:00,Logistica,35.05,Activo,Norte,14.3
73,2025-01-10 03:00:00,Calidad,12.64,Error,Oeste,6.4
74,2025-01-10 06:00:00,Electronica,7.32,Inactivo,Oeste,7.43
75,2025-01-10 09:00:00,Software,8.18,Error,Norte,6.43
76,2025-01-10 12:00:00,Mecanica,7.86,Inactivo,Centro,7.38
77,2025-01-10 15:00:00,Calidad,50.66,Mantenimiento,Este,14.18
78,2025-01-10 18:00:00,Electronica,23.46,Error,Sur,14.81
79,2025-01-10 21:00:00,Software,4.49,Error,Centro,7.3
80,2025-01-11 00:00:00,Software,52.35,Mantenimiento,Oeste,13.69
81,2025-01-11 03:00:00,Calidad,2.89,Error,Sur,14.72
82,2025-01-11 06:00:00,Electronica,71.06,Activo,Sur,10.44
83,2025-01-11 09:00:00,Calidad,96.12,Mantenimiento,Norte,4.31
84,2025-01-11 12:00:00,Mecanica,97.36,Activo,Este,6.72
85,2025-01-11 15:00:00,Logistica,4.78,Inactivo,Sur,4.59
86,2025-01-11 18:00:00,Logistica,6.6,Inactivo,Oeste,0.61
87,2025-01-11 21:00:00,Mecanica,10.81,Error,Este,1.82
88,2025-01-12 00:00:00,Calidad,73.09,Activo,Oeste,9.04
89,2025-01-12 03:00:00,Electronica,83.56,Mantenimiento,Este,10.87
90,2025-01-12 06:00:00,Calidad,13.68,Error,Sur,2.41
91,2025-01-12 09:00:00,Logistica,0.75,Inactivo,Norte,3.51
92,2025-01-12 12:00:00,Electronica,12.6,Error,Este,11.06
93,2025-01-12 15:00:00,Electronica,25.02,Error,Sur,2.2
94,2025-01-12 18:00:00,Electronica,23.26,Error,Este,9.95
95,2025-01-12 21:00:00,Software,76.76,Mantenimiento,Centro,8.71
96,2025-01-13 00:00:00,Calidad,6.57,Inactivo,Este,12.45
97,2025-01-13 03:00:00,Software,7.96,Inactivo,Oeste,9.54
98,2025-01-13 06:00:00,Mecanica,17.11,Error,Centro,4.7
99,2025-01-13 09:00:00,Electronica,8.6,Error,Centro,4.45
100,2025-01-13 12:00:00,Software,37.45,Mantenimiento,Centro,5.73
101,2025-01-13 15:00:00,Calidad,60.18,Activo,Este,14.82
102,2025-01-13 18:00:00,Logistica,76.44,Mantenimiento,Centro,5.7
103,2025-01-13 21:00:00,Software,35.5,Mantenimiento,Este,6.06
104,2025-01-14 00:00:00,Software,8.84,Error,Centro,6.31
105,2025-01-14 03:00:00,Software,1.06,Inactivo,Este,7.22
106,2025-01-14 06:00:00,Software,2.14,Error,Centro,10.8
107,2025-01-14 09:00:00,Mecanica,1.07,Inactivo,Este,14.65
108,2025-01-14 12:00:00,Mecanica,31.29,Activo,Centro,11.28
109,2025-01-14 15:00:00,Calidad,28.61,Mantenimiento,Centro,4.89
